Model,Error
LinearRegression,0.08465636045401377
Ridge,0.08465650815694192
Lasso,0.10183140460889996
RandomForestRegressor,0.01759116699904552
SVR,0.07397466434823399
KNeighborsRegressor,0.06782682904804249
DecisionTreeRegressor,0.0
GradientBoostingRegressor,2.21205828027089e-05
LinearRegression,0.035126635696677885
Ridge,0.03512674515935711
Lasso,0.047855065467744776
RandomForestRegressor,0.012051226513600091
SVR,0.03482938832290194
KNeighborsRegressor,0.03408704075755096
DecisionTreeRegressor,0.0
GradientBoostingRegressor,2.082714578956279e-05
LinearRegression,0.061978606384384335
Ridge,0.06197861383103753
Lasso,0.06284451067208394
RandomForestRegressor,0.011381352607612718
SVR,0.02804021884656717
KNeighborsRegressor,0.039216741329095056
DecisionTreeRegressor,0.0
GradientBoostingRegressor,3.752127785037164e-05
LinearRegression,321198688438.17523
Ridge,321214578990.715
Lasso,321198688438.2328
RandomForestRegressor,29093615264.30905
SVR,2280071634590.6704
KNeighborsRegressor,198904046517.22464
DecisionTreeRegressor,0.0
GradientBoostingRegressor,5336076.773425275
